word,node-label,new-val
(อันตราย - ADJ),pos,1.0
(ลาก - VERB),pos,0.9993757802746567
(เปียก - VERB),neg,0.9987515605493134
(เว้น - VERB),pos,0.99812734082397
(ปลายทาง - VERB),neg,0.9975031210986267
(เจ็บ - ADV),pos,0.9968789013732834
(ท้าทาย - ADV),pos,0.9962546816479401
(Las - ADV),pos,0.9956304619225967
(เจ - ADV),pos,0.9950062421972534
(เจ็ทสกีเว้น - VERB),pos,0.9943820224719101
(ต้อย - ADV),pos,0.9937578027465668
(กุศล - VERB),pos,0.9931335830212235
(คาว - VERB),pos,0.9925093632958801
(เรียน - VERB),pos,0.9918851435705368
(จินตนาการ - ADV),pos,0.9912609238451935
(ยืนตาม - ADV),pos,0.9906367041198502
(ดาว - ADV),pos,0.9900124843945068
(ทา - ADJ),pos,0.9893882646691635
(กาลา - VERB),pos,0.9887640449438202
(ถนนอาหาร - ADV),pos,0.9881398252184769
(มือถือ - ADV),pos,0.9875156054931336
(เท้าเปล่า - ADJ),pos,0.9868913857677902
(ห้า - ADJ),pos,0.9862671660424469
(ฉลาก - VERB),pos,0.9856429463171036
(สนิม - VERB),pos,0.9850187265917603
(สอดคล้อง - VERB),pos,0.9843945068664169
(x - VERB),pos,0.9837702871410736
(ค้ามหาสมุทรพลาซ่า - VERB),pos,0.9831460674157303
(ขาย - ADV),pos,0.982521847690387
(un - ADV),pos,0.9818976279650437
(รบกวน - ADV),pos,0.9812734082397003
(Sea Smile - ADJ),pos,0.980649188514357
(Dental - VERB),pos,0.9800249687890137
(ย้าย - ADJ),neg,0.9794007490636704
(คนเฒ่าคนแก่ - VERB),pos,0.978776529338327
(เตร่ - VERB),pos,0.9781523096129837
(แลบ - VERB),pos,0.9775280898876404
(สมบูรณ์แบบ - ADV),pos,0.9769038701622972
(ประพฤติ - VERB),pos,0.9762796504369539
(pg - ADV),pos,0.9756554307116105
(รูปแบบ - VERB),pos,0.9750312109862672
(โดดเดี่ยว - VERB),pos,0.9744069912609239
(เจ็ตสกูตเตอร์ - ADJ),pos,0.9737827715355806
(สลัด - VERB),pos,0.9731585518102372
(ประยุกต์ - VERB),pos,0.9725343320848939
(ชนะ - VERB),pos,0.9719101123595506
(อึดอัด - ADJ),pos,0.9712858926342073
(สกุล - VERB),pos,0.970661672908864
(ไอศครีม - VERB),neg,0.9700374531835206
(เหมาะ - ADV),neg,0.9694132334581773
(coconuy - VERB),pos,0.968789013732834
(เศร้า - VERB),pos,0.9681647940074907
(เคราะห์ - VERB),pos,0.9675405742821473
(เบี่ยงเบน - VERB),pos,0.966916354556804
(ยักษ์ - VERB),pos,0.9662921348314607
(เพื่อน - VERB),pos,0.9656679151061174
(ปิ้ง - VERB),pos,0.9650436953807741
(หา - ADV),pos,0.9644194756554307
(ทั่วถึง - ADV),pos,0.9637952559300874
